Lot Barcode,SW174769-3,SW202558-2,SW209495-1,SW209496-1,SW209497-1,SW209498-1,SW209499-1,SW209500-1,SW209501-1,SW209502-1,SW209503-1,SW209504-1,PAK4i
A549,-4.625251654,-4.305394801,-6.139063379,-6.602059991,-4.305394801,-5.991399828,-7.966576245,-4.53313238,-4.628932138,-4.903089987,-4.798602876,-5.512861625,-5.991399828
calu1,-4.305394801,-4.305394801,-7.442492798,-7.444905551,-5.46470588,-5.747146969,-7.88941029,-4.580044252,-4.305394801,-4.809668302,-5.083546051,-6.134896025,-5.970616222
calu6,-5.390405591,-4.305394801,-7.026872146,-7.057991947,-4.305394801,-5.540607512,-8.319664487,-4.305394801,-4.338187314,-4.669586227,-4.93930216,-5.782516056,-5.301899454
H125,-4.610833916,-4.305394801,-6.628932138,-6.782516056,-4.305394801,-5.319664487,-7.841637508,-4.305394801,-4.318758763,-4.539102157,-5.103473783,-5.590066877,-5.747146969
H157,-4.457174573,-6.886056648,-6.191789027,-7.134896025,-4.305394801,-5.899629455,-8.010995384,-4.305394801,-4.41453927,-4.548213564,-4.962573502,-5.530177984,-5.838631998
H358,-4.607303047,-4.305394801,-6.790484985,-7.066006836,-4.305394801,-6.14691047,-8.031517051,-4.500312917,-4.89279003,-4.790484985,-6.008330993,-5.616184634,-5.527243551
H522,-4.826813732,-8.026410377,-6.721246399,-6.657577319,-4.806875402,-5.630784143,-7.815308569,-4.305394801,-4.305394801,-4.779891912,-6.586700236,-5.747146969,-6.389339837
H650,-5.37675071,-4.305394801,-6.987162775,-6.510041521,-4.305394801,-5.673664139,-7.769551079,-4.305394801,-4.412289035,-4.761953897,-4.756961951,-5.931814138,-5.218244625
H720,-4.954677021,-6.721246399,-6.016824928,-6.236572006,-4.305394801,-5.694648631,-7.156767222,-4.568636236,-4.305394801,-4.747146969,-5.148741651,-5.511449283,-5.991399828
H838,-5.013228266,-4.305394801,-6.853871964,-6.879426069,-5.11463878,-6.076755981,-8.105130343,-4.455931956,-4.869666232,-4.928117993,-5.158015195,-6.016824928,-6.234331445
